Archivo	Tamaño	TiempoCompresionZip	TiempoCompresionGzip	TiempoDescompresionZip	TiempoDescompresionGzip
archivo_0.bin	303067991	8.10784	8.64962	2.03089	2.03129
archivo_1.bin	214722709	5.55146	8.48431	1.34594	1.50457
archivo_2.bin	184745159	4.9256	5.21674	1.17677	1.27036
archivo_3.bin	249696792	6.50999	7.16648	1.48609	1.68151
archivo_4.bin	214708561	5.88446	6.33819	1.34138	3.48723
archivo_5.bin	178234206	4.46644	4.70105	1.14021	1.14994
archivo_6.bin	166666592	4.78785	4.888	1.14347	3.37245
archivo_7.bin	172563682	4.46407	4.95854	1.02796	1.14626
archivo_8.bin	39577581	1.10385	1.1742	0.26243	0.292537
archivo_9.bin	80280602	2.15241	2.26488	2.22458	0.549966
archivo_10.bin	58914069	1.63296	1.76299	0.379936	0.426161
archivo_11.bin	202537161	5.60933	5.45394	1.32267	1.39563
archivo_12.bin	226546670	6.13999	8.79942	1.50145	1.56945
archivo_13.bin	89693089	2.4859	2.63417	0.575236	0.655796
archivo_14.bin	257451126	6.86961	8.85403	1.62478	1.75262
archivo_15.bin	74714743	1.95585	2.14323	0.470928	0.506369
archivo_16.bin	243563346	8.30373	6.92406	1.57606	1.6641
archivo_17.bin	187005656	4.98979	5.45227	1.19402	1.27817
archivo_18.bin	224858977	6.13424	8.15029	1.41456	1.52435
archivo_19.bin	91235686	2.42451	2.64159	0.576777	0.626148
archivo_20.bin	35210142	0.946515	1.02134	0.252883	0.241973
archivo_21.bin	94246289	2.55048	2.70167	0.602949	0.642908
archivo_22.bin	42555813	1.19274	1.24325	0.266724	0.298455
archivo_23.bin	122396738	3.24049	3.48763	0.772581	0.823917
archivo_24.bin	79343104	2.11045	2.25359	0.505203	0.536181
archivo_25.bin	75270878	2.04686	4.01972	0.473728	0.529446
archivo_26.bin	66555291	1.78278	1.94297	0.429199	0.464013
archivo_27.bin	113639562	3.00057	3.22704	0.745157	0.765862
archivo_28.bin	85510507	2.29709	2.43704	0.544362	0.580557
archivo_29.bin	131593376	3.6593	5.59386	0.837166	0.890501
archivo_30.bin	4146905	0.11475	0.122622	0.0289824	0.0315324
archivo_31.bin	121632528	3.23622	3.48164	0.765881	0.82297
archivo_32.bin	33966927	0.910894	0.967447	0.22272	0.234221
archivo_33.bin	68203913	1.80784	1.96008	0.430351	0.46348
archivo_34.bin	13873133	0.378298	0.400609	0.0916598	0.103007
archivo_35.bin	148476377	3.9411	4.33401	0.995937	1.01678
archivo_36.bin	139020079	3.64194	4.08277	0.87142	0.935675
archivo_37.bin	7550912	0.203794	0.215754	0.0508213	0.0553913
archivo_38.bin	148320143	5.91146	4.22656	0.955802	1.02813
archivo_39.bin	107125689	2.87169	3.22567	0.671191	0.74168
archivo_40.bin	17204218	0.4507	0.47339	0.107523	0.122097
archivo_41.bin	29354536	0.768333	0.845975	0.18383	0.197421
archivo_42.bin	40514617	1.06244	1.12134	0.248345	0.269128
archivo_43.bin	14805688	0.394218	0.417366	0.0980749	0.101074
archivo_44.bin	23012350	0.631973	0.673305	0.153598	0.161265
archivo_45.bin	2819831	0.0784818	0.0830886	0.0208278	0.021898
archivo_46.bin	16356416	0.44085	0.469678	0.116441	0.118656
archivo_47.bin	18603879	0.521665	0.555927	0.123164	0.136851
archivo_48.bin	28954307	0.80588	3.07551	0.198383	0.203172
archivo_49.bin	29892092	0.843556	0.922108	0.206038	0.223256
archivo_50.bin	19986620	0.562924	0.599219	0.13973	0.149181
archivo_51.bin	1042872	0.0312482	0.0330065	0.009393	0.0101391
archivo_52.bin	15416984	0.43333	0.469112	0.105269	0.113893
archivo_53.bin	1612955	0.0467584	0.0501202	0.013243	0.0140947
archivo_54.bin	41903228	1.06314	1.13658	0.251958	0.275296
archivo_55.bin	13172073	0.365279	0.360026	0.0823085	0.0888556
archivo_56.bin	24748849	0.621794	0.685758	0.154359	0.162267
archivo_57.bin	16283770	0.42691	0.445563	0.100912	0.107975
archivo_58.bin	39064362	0.989132	1.06914	0.236007	0.255403
archivo_59.bin	45827789	1.21601	1.31253	0.27651	0.304452
archivo_60.bin	53041	0.00427955	0.0037228	0.00322238	0.00286388
archivo_61.bin	713799	0.0222217	0.0214459	0.00691812	0.00715759
archivo_62.bin	426289	0.0128851	0.0139037	0.00530824	0.00530609
archivo_63.bin	823572	0.0239807	0.0244645	0.00723298	0.00756011
archivo_64.bin	832208	0.023564	0.0252832	0.00749541	0.00778949
archivo_65.bin	333956	0.010769	0.011509	0.00415415	0.00473552
archivo_66.bin	663771	0.0193904	0.0202574	0.00612186	0.00655184
archivo_67.bin	474444	0.0139037	0.014864	0.00522116	0.00534758
archivo_68.bin	664314	0.0194247	0.0203396	0.00666114	0.00634825
archivo_69.bin	939600	0.026924	0.0301746	0.00835835	0.0087756
archivo_70.bin	70347	0.00401478	0.00361521	0.00260908	0.00279696
archivo_71.bin	155373	0.00569372	0.00644657	0.00330375	0.00316906
archivo_72.bin	233888	0.00840136	0.00875485	0.00364623	0.00413243
archivo_73.bin	774727	0.0235589	0.0245689	0.00758845	0.00730214
archivo_74.bin	898900	0.0346935	0.0352255	0.00861768	0.0113614
archivo_75.bin	83483	0.00389612	0.00400154	0.00300522	0.00277404
archivo_76.bin	961553	0.0267123	0.0283166	0.00835678	0.00878444
archivo_77.bin	954132	0.0266751	0.0296443	0.00829171	0.00862458
archivo_78.bin	605449	0.017524	0.0187583	0.00662353	0.00640044
archivo_79.bin	638348	0.0185152	0.0195855	0.0059811	0.00674081
